SOIL_TYPE,N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,CROP
Sandy soil,90,42,43,20.87974371,82.00274423,6.502985292,Amaranthus
Red soil,60,48,39,24.28209415,80.30025587,7.042299069,Tomato
Laterite soil,67,59,41,21.94766735,80.97384195,6.012632591,Lentil
Regur soil,2,72,18,26.57597546,60.97876599,7.836719564,Coriander
Clayey soils,68,57,43,26.08867875,80.37979919,5.706943251,Dry Chillies
Desert soils,93,53,38,26.92995077,81.91411159,7.069172227,Capsicum
Sandy loam,22,70,19,18.23775702,21.07643273,5.515615023,Grapes
Sandy soil,85,58,41,21.77046169,80.31964408,7.038096361,Green Banana
Sandy soil,60,55,44,23.00445915,82.3207629,7.840207144,Ladies Finger
Sandy soil,74,35,40,26.49109635,80.15836264,6.980400905,Bitter Gourd
Sandy soil,78,42,42,20.13017482,81.60487287,7.628472891,Black pepper
Sandy soil,69,37,42,23.05804872,83.37011772,7.073453503,Bottle Gourd
Sandy soil,69,55,38,22.70883798,82.63941394,5.70080568,Brinjal
Sandy soil,94,53,40,20.27774362,82.89408619,5.718627178,Cabbage
Sandy soil,89,54,38,24.51588066,83.5352163,6.685346424,Carrot
Sandy soil,68,58,38,23.22397386,83.03322691,6.336253525,Cauliflower
Sandy soil,91,53,40,26.52723513,81.41753846,5.386167788,Cluster beans
Sandy soil,90,46,42,23.97898217,81.45061596,7.50283396,Coconut
Sandy soil,78,58,44,26.80079604,80.88684822,5.108681786,Colacasia
Sandy soil,93,56,36,24.01497622,82.05687182,6.98435366,Onion
Sandy soil,94,50,37,25.66585205,80.66385045,6.94801983,Potato
Red soil,60,48,39,24.28209415,80.30025587,7.042299069,Tomato
Red soil,85,38,41,21.58711777,82.7883708,6.249050656,Tomato
Red soil,91,35,39,23.79391957,80.41817957,6.970859754,Tomato
Red soil,77,38,36,21.8652524,80.1923008,5.953933276,Bengal Gram
Red soil,88,35,40,23.57943626,83.58760316,5.85393208,Jowar
Red soil,89,45,36,21.32504158,80.47476396,6.442475375,Paddy
Red soil,76,40,43,25.15745531,83.11713476,5.070175667,Paddy
Laterite soil,67,59,41,21.94766735,80.97384195,6.012632591,Lentil
Laterite soil,83,41,43,21.0525355,82.67839517,6.254028451,Rice
Laterite soil,98,47,37,23.48381344,81.33265073,7.375482851,Rice
Laterite soil,66,53,41,25.0756354,80.52389148,7.778915154,Bitter Gourd
Laterite soil,97,59,43,26.35927159,84.04403589,6.286500176,Bottle Gourd
Laterite soil,97,50,41,24.52922681,80.54498576,7.070959995,Brinjal
Laterite soil,60,49,44,20.77576147,84.49774397,6.244841491,Cabbage
Laterite soil,84,51,35,22.30157427,80.64416466,6.043304899,Carrot
Laterite soil,73,57,41,21.44653958,84.94375962,5.824709117,Cauliflower
Laterite soil,92,35,40,22.17931888,80.33127223,6.357389366,Cluster beans
Laterite soil,85,37,39,24.52783742,82.73685569,6.364134968,Cucumber
Laterite soil,98,53,38,20.26707606,81.63895217,5.01450727,Field Pea
Laterite soil,88,54,44,25.7354293,83.88266234,6.149410611,French Beans
Laterite soil,95,55,42,26.79533926,82.1480873,5.950660556,Green Chilli
Laterite soil,99,57,35,26.75754171,81.17734011,5.960370061,Knool Khol
Laterite soil,95,39,36,23.86330467,83.15250801,5.561398642,Potato
Laterite soil,60,43,44,21.01944696,82.95221726,7.416245107,Pumpkin
Laterite soil,63,44,41,24.17298839,83.7287574,5.583370042,Raddish
Laterite soil,62,42,36,22.78133816,82.06719137,6.430010215,Tomato
Laterite soil,64,45,43,25.62980105,83.52842314,5.534878156,Black Gram
Laterite soil,83,60,36,25.59704938,80.14509262,6.903985986,Green Gram
Laterite soil,82,40,40,23.83067496,84.81360127,6.271478838,Jute
Laterite soil,85,52,45,26.31355498,82.36698992,7.224285503,Maida Atta
Laterite soil,91,35,38,24.8972823,80.52586088,6.13428721,Mustard
Laterite soil,76,49,42,24.958779,84.47963372,5.206373153,Rice
Laterite soil,74,39,38,23.24113501,84.59201843,7.782051313,Rice
Laterite soil,79,43,39,21.66628296,80.70960551,7.062779015,Wheat Atta
Laterite soil,88,55,45,24.63544858,80.41363018,7.730367824,Garlic
Laterite soil,60,36,43,23.43121862,83.06310136,5.286203711,Green Gram
Laterite soil,76,60,39,20.0454142,80.3477562,6.766240045,Masur Dal
Laterite soil,93,56,42,23.85724032,82.22572988,7.382762603,Onion
Laterite soil,65,60,43,21.97199397,81.89918197,5.658169482,Potato
Laterite soil,95,52,36,26.22916897,83.83625819,5.543360238,Rice
Laterite soil,75,38,39,23.44676801,84.79352417,6.215109715,Wheat Atta
Laterite soil,74,54,38,25.65553461,83.47021081,7.120272972,Bitter Gourd
Laterite soil,91,36,45,24.44345477,82.45432595,5.950647577,Brinjal
Laterite soil,71,46,40,20.2801937,82.1235421,7.236705436,Cabbage
Laterite soil,99,55,35,21.7238313,80.2389895,6.501697816,Carrot
Laterite soil,72,40,38,20.41447029,82.20802629,7.592490617,Cauliflower
Laterite soil,83,58,45,25.75528612,83.51827127,5.875345751,Cucumber
Laterite soil,93,58,38,20.61521424,83.77345559,6.932400225,Garlic
Laterite soil,70,36,42,21.84106875,80.72886384,6.946209881,Green Chilli
Laterite soil,76,47,42,20.08369642,83.29114712,5.739175027,Onion
Laterite soil,99,41,36,24.45802087,82.74835604,6.738652179,Potato
Laterite soil,99,54,37,21.14347496,80.33502926,5.594819626,Pumpkin
Laterite soil,86,59,35,25.78720567,82.11124033,6.946636369,Raddish
Laterite soil,69,46,41,23.64124821,80.28597873,5.012139669,Ridge Gourd
Laterite soil,91,56,37,23.43191632,80.56887849,6.363472208,Tomato
Laterite soil,61,52,41,24.97669518,83.891805,6.880431223,Arecanut
Laterite soil,67,45,38,22.72791041,82.1706881,7.300410836,Red Gram
Laterite soil,79,42,37,24.87300744,82.84022551,6.587918708,Brinjal
Laterite soil,78,43,42,21.32376327,83.00320459,7.283736617,Cabbage
Laterite soil,75,54,36,26.29465461,84.56919326,7.023936392,Green Chilli
Laterite soil,97,36,45,22.2286982,81.85872947,6.939083505,Jute
Laterite soil,67,47,44,26.73072391,81.78596776,7.868474653,Maize
Laterite soil,73,35,38,24.88921174,81.97927117,5.005306977,Mustard
Laterite soil,77,36,37,26.88444878,81.46033732,6.136131869,Rice
Laterite soil,81,41,38,22.67846116,83.72874389,7.524080076,Rice
Clayey soils,68,57,43,26.08867875,80.37979919,5.706943251,Dry Chillies
Clayey soils,72,45,35,25.42977518,82.94682591,5.758506323,Paddy
Clayey soils,61,53,43,26.40323239,81.05635517,6.349606327,Paddy
Clayey soils,67,43,39,26.04371967,84.96907151,5.999969026,Paddy
Clayey soils,67,58,39,25.2827223,80.54372813,5.453592032,Groundnut
Laterite soil,66,60,38,22.08576562,83.47038318,6.372576327,Arecanut
Laterite soil,82,43,38,23.28617173,81.43321641,5.105588355,Arecanut
Laterite soil,84,50,44,25.48591986,81.40633547,5.935344406,Arecanut
Desert soils,81,53,42,23.67575393,81.03569343,5.17782304,Ladies Finger
Desert soils,91,50,40,20.82477109,84.1341879,6.462391607,Brinjal
Desert soils,93,53,38,26.92995077,81.91411159,7.069172227,Capsicum
Desert soils,90,44,38,23.83509503,83.88387074,7.473134377,Guar
Desert soils,81,45,35,26.52872817,80.12267476,6.158376967,Lemon
Desert soils,78,40,38,26.46428311,83.85642678,7.549873681,Bajra
Desert soils,60,51,36,22.69657794,82.81088865,6.028321558,Bajra
Desert soils,88,46,42,22.68319059,83.46358271,6.604993475,Castor Seed
Desert soils,93,47,37,21.53346343,82.14004101,6.500343222,Ladies Finger
Desert soils,60,55,45,21.40865769,83.3293191,5.935745417,Bottle Gourd
Desert soils,78,35,44,26.54348085,84.67353597,7.072655622,Brinjal
Desert soils,65,37,40,23.35905428,83.59512273,5.333322606,Cabbage
Desert soils,71,54,16,22.61359953,63.69070564,5.749914421,Capsicum
Desert soils,61,44,17,26.10018422,71.57476937,6.931756558,Carrot
Desert soils,80,43,16,23.55882094,71.59351368,6.657964753,Cauliflower
Desert soils,73,58,21,19.97215954,57.68272924,6.596060648,Coriander
Desert soils,61,38,20,18.47891261,62.69503871,5.970458434,Cowpea
Desert soils,68,41,16,21.77689322,57.80840636,6.158830619,Cucumber
Desert soils,93,41,17,25.6217169,66.50415474,6.047906679,Drumstick
Desert soils,89,60,19,25.19192419,66.6902901,5.913664501,Elephat Yam
Desert soils,76,44,17,20.41683147,62.5542482,5.855442401,Ginger
Desert soils,67,60,25,24.92162194,66.78627406,5.750254943,Green Chilli
Desert soils,70,44,19,23.31689124,73.4541537,5.852607099,Seam
Desert soils,90,49,21,24.84016732,68.3584573,6.472523287,Lemon
Desert soils,62,52,16,22.27526694,58.84015925,6.967057762,Methi Leaves
Desert soils,92,44,16,18.87751445,65.76816093,6.082973754,Green Onion
Desert soils,66,54,21,25.19008683,60.2001687,5.919045532,Peas cod
Desert soils,63,58,22,18.25405352,55.28220433,6.204747653,Pigeon Pea
Desert soils,70,47,17,24.6129118,70.4162444,6.600827017,Sponge Gourd
Desert soils,61,41,17,25.1420613,65.26185135,6.021902237,Surat Beans
Desert soils,66,53,19,23.09348056,60.1159381,6.033550195,Sweet Potato
Desert soils,74,55,19,18.05033737,62.89366992,6.28886807,Tinda
Desert soils,77,57,21,24.9321581,73.80435276,6.550563823,Tomato
Desert soils,99,50,15,18.14710054,71.09445342,5.573286437,Cluster Beans
Desert soils,74,56,22,18.28362235,66.65952796,6.829199275,Potato
Desert soils,83,45,21,18.83344471,58.75082029,5.716222912,Sweet Potato
Desert soils,100,48,16,25.71895816,67.22190688,5.54990242,Red Gram
Desert soils,79,51,16,25.33797709,68.49835977,6.586244581,Cotton
Desert soils,94,39,18,23.89114571,57.48775781,5.893093135,Maize
Desert soils,75,49,15,21.53574127,71.50905983,5.918263801,Paddy
Desert soils,78,48,22,23.08974909,63.10459626,5.588650585,Wheat
Desert soils,87,54,20,25.61707368,63.4711755,6.576418207,Bajra
Desert soils,87,35,25,21.44526922,63.1621551,6.178056304,Maize
Desert soils,63,43,19,18.51816776,55.53128131,6.641906353,Paddy
Desert soils,84,57,25,22.53510514,67.99257471,6.489040367,Brinjal
Desert soils,64,35,23,23.02038334,61.89472002,5.680361038,Cabbage
Desert soils,60,46,22,24.89364635,65.61418761,6.625404348,Tomato
Desert soils,98,44,21,25.77175115,74.089114,6.524478032,Ladies Finger
Desert soils,75,56,18,19.39851734,62.35750641,5.696205468,Brinjal
Desert soils,86,55,21,21.54156232,59.64024162,6.803931519,Cowpea
Desert soils,98,35,18,23.79746068,74.82913698,6.252797548,Paddy
Desert soils,76,57,18,18.9802729,74.52600826,6.092725883,Pigeon Pea
Desert soils,99,56,17,24.10859207,73.13112261,6.234330356,Surat Beans
Desert soils,60,44,23,24.7947077,70.04556743,5.722579819,Tomato
Desert soils,74,48,17,21.63162756,60.27766379,6.430616465,Ladies Finger
Desert soils,89,60,17,25.37548751,57.21025565,5.983952675,Brinjal
Desert soils,69,51,23,22.21738222,72.85462807,6.80163854,Cowpea
Desert soils,96,46,22,20.58314011,69.00128641,6.499936446,Paddy
Desert soils,61,60,15,24.87502824,68.74248334,6.265564338,Pigeon Pea
Desert soils,74,58,18,20.03728219,56.35606753,6.727303282,Surat Beans
